;matches_home_team_id;home_team_name
252;T-73;Spain
253;T-73;Spain
254;T-83;United States
255;T-74;Sweden
256;T-74;Sweden
257;T-74;Sweden
258;T-74;Sweden
259;T-09;Brazil
260;T-09;Brazil
261;T-13;Chile
262;T-13;Chile
263;T-13;Chile
264;T-13;Chile
265;T-13;Chile
266;T-13;Chile
267;T-13;Chile
268;T-73;Spain
269;T-41;Italy
270;T-41;Italy
271;T-84;Uruguay
272;T-84;Uruguay
273;T-84;Uruguay
274;T-84;Uruguay
275;T-84;Uruguay
276;T-84;Uruguay
277;T-84;Uruguay
278;T-84;Uruguay
279;T-75;Switzerland
280;T-75;Switzerland
281;T-75;Switzerland
282;T-09;Brazil
283;T-09;Brazil
284;T-09;Brazil
285;T-09;Brazil
286;T-09;Brazil
287;T-09;Brazil
288;T-09;Brazil
289;T-09;Brazil
290;T-84;Uruguay
291;T-84;Uruguay
292;T-84;Uruguay
293;T-84;Uruguay
294;T-09;Brazil
295;T-09;Brazil
296;T-09;Brazil
297;T-09;Brazil
298;T-09;Brazil
299;T-09;Brazil
300;T-09;Brazil
301;T-84;Uruguay
302;T-84;Uruguay
303;T-84;Uruguay
304;T-84;Uruguay
305;T-84;Uruguay
306;T-74;Sweden
307;T-74;Sweden
308;T-74;Sweden
309;T-74;Sweden
310;T-84;Uruguay
311;T-84;Uruguay
312;T-84;Uruguay
313;T-09;Brazil
314;T-09;Brazil
315;T-09;Brazil
316;T-09;Brazil
317;T-09;Brazil
318;T-87;Yugoslavia
319;T-05;Austria
320;T-84;Uruguay
321;T-84;Uruguay
322;T-75;Switzerland
323;T-75;Switzerland
324;T-75;Switzerland
325;T-36;Hungary
326;T-36;Hungary
327;T-36;Hungary
328;T-36;Hungary
329;T-36;Hungary
330;T-36;Hungary
331;T-36;Hungary
332;T-36;Hungary
333;T-36;Hungary
334;T-86;West Germany
335;T-86;West Germany
336;T-86;West Germany
337;T-86;West Germany
338;T-86;West Germany
339;T-28;England
340;T-28;England
341;T-28;England
342;T-28;England
343;T-28;England
344;T-28;England
345;T-28;England
346;T-28;England
347;T-84;Uruguay
348;T-84;Uruguay
349;T-84;Uruguay
350;T-84;Uruguay
351;T-84;Uruguay
352;T-84;Uruguay
353;T-84;Uruguay
354;T-09;Brazil
355;T-09;Brazil
356;T-05;Austria
357;T-05;Austria
358;T-05;Austria
359;T-05;Austria
360;T-05;Austria
361;T-30;France
362;T-30;France
363;T-30;France
364;T-30;France
365;T-30;France
366;T-36;Hungary
367;T-36;Hungary
368;T-36;Hungary
369;T-36;Hungary
370;T-36;Hungary
371;T-36;Hungary
372;T-36;Hungary
373;T-36;Hungary
374;T-36;Hungary
375;T-36;Hungary
376;T-36;Hungary
377;T-80;Turkey
378;T-80;Turkey
379;T-80;Turkey
380;T-80;Turkey
381;T-80;Turkey
382;T-80;Turkey
383;T-80;Turkey
384;T-41;Italy
385;T-41;Italy
386;T-41;Italy
387;T-41;Italy
388;T-41;Italy
389;T-28;England
390;T-28;England
391;T-86;West Germany
392;T-86;West Germany
393;T-86;West Germany
394;T-86;West Germany
395;T-86;West Germany
396;T-86;West Germany
397;T-86;West Germany
398;T-86;West Germany
399;T-86;West Germany
400;T-75;Switzerland
401;T-75;Switzerland
402;T-75;Switzerland
403;T-75;Switzerland
404;T-75;Switzerland
405;T-05;Austria
406;T-05;Austria
407;T-05;Austria
408;T-05;Austria
409;T-05;Austria
410;T-05;Austria
411;T-05;Austria
412;T-05;Austria
413;T-05;Austria
414;T-05;Austria
415;T-05;Austria
416;T-05;Austria
417;T-84;Uruguay
418;T-84;Uruguay
419;T-84;Uruguay
420;T-84;Uruguay
421;T-84;Uruguay
422;T-84;Uruguay
423;T-36;Hungary
424;T-36;Hungary
425;T-36;Hungary
426;T-36;Hungary
427;T-36;Hungary
428;T-36;Hungary
429;T-86;West Germany
430;T-86;West Germany
431;T-36;Hungary
432;T-36;Hungary
433;T-36;Hungary
434;T-36;Hungary
435;T-36;Hungary
436;T-36;Hungary
437;T-86;West Germany
438;T-86;West Germany
439;T-86;West Germany
440;T-86;West Germany
441;T-86;West Germany
442;T-86;West Germany
443;T-86;West Germany
444;T-05;Austria
445;T-05;Austria
446;T-05;Austria
447;T-05;Austria
448;T-86;West Germany
449;T-86;West Germany
450;T-86;West Germany
451;T-86;West Germany
452;T-86;West Germany
453;T-74;Sweden
454;T-74;Sweden
455;T-74;Sweden
456;T-03;Argentina
457;T-03;Argentina
458;T-03;Argentina
459;T-03;Argentina
460;T-52;Northern Ireland
461;T-30;France
462;T-30;France
463;T-30;France
464;T-30;France
465;T-30;France
466;T-30;France
467;T-30;France
468;T-30;France
469;T-30;France
470;T-30;France
471;T-87;Yugoslavia
472;T-87;Yugoslavia
473;T-36;Hungary
474;T-36;Hungary
475;T-09;Brazil
476;T-09;Brazil
477;T-09;Brazil
478;T-72;Soviet Union
479;T-72;Soviet Union
480;T-72;Soviet Union
481;T-72;Soviet Union
482;T-03;Argentina
483;T-03;Argentina
484;T-03;Argentina
485;T-03;Argentina
486;T-86;West Germany
487;T-86;West Germany
488;T-86;West Germany
489;T-86;West Germany
490;T-55;Paraguay
491;T-55;Paraguay
492;T-55;Paraguay
493;T-55;Paraguay
494;T-55;Paraguay
495;T-87;Yugoslavia
496;T-87;Yugoslavia
497;T-87;Yugoslavia
498;T-87;Yugoslavia
499;T-87;Yugoslavia
500;T-46;Mexico
501;T-46;Mexico
502;T-09;Brazil
503;T-72;Soviet Union
504;T-72;Soviet Union
505;T-74;Sweden
506;T-74;Sweden
507;T-74;Sweden
508;T-74;Sweden
509;T-21;Czechoslovakia
510;T-21;Czechoslovakia
511;T-21;Czechoslovakia
512;T-21;Czechoslovakia
513;T-21;Czechoslovakia
514;T-21;Czechoslovakia
515;T-21;Czechoslovakia
516;T-86;West Germany
517;T-86;West Germany
518;T-86;West Germany
519;T-86;West Germany
520;T-30;France
521;T-30;France
522;T-30;France
523;T-55;Paraguay
524;T-55;Paraguay
525;T-55;Paraguay
526;T-55;Paraguay
527;T-55;Paraguay
528;T-55;Paraguay
529;T-36;Hungary
530;T-36;Hungary
531;T-36;Hungary
532;T-36;Hungary
533;T-09;Brazil
534;T-09;Brazil
535;T-28;England
536;T-28;England
537;T-28;England
538;T-28;England
539;T-52;Northern Ireland
540;T-52;Northern Ireland
541;T-52;Northern Ireland
542;T-85;Wales
543;T-85;Wales
544;T-85;Wales
545;T-72;Soviet Union
546;T-09;Brazil
547;T-30;France
548;T-30;France
549;T-30;France
550;T-30;France
551;T-74;Sweden
552;T-74;Sweden
553;T-86;West Germany
554;T-09;Brazil
555;T-09;Brazil
556;T-09;Brazil
557;T-09;Brazil
558;T-09;Brazil
559;T-09;Brazil
560;T-09;Brazil
561;T-74;Sweden
562;T-74;Sweden
563;T-74;Sweden
564;T-74;Sweden
565;T-30;France
566;T-30;France
567;T-30;France
568;T-30;France
569;T-30;France
570;T-30;France
571;T-30;France
572;T-30;France
573;T-30;France
574;T-09;Brazil
575;T-09;Brazil
576;T-09;Brazil
577;T-09;Brazil
578;T-09;Brazil
579;T-09;Brazil
580;T-09;Brazil
581;T-84;Uruguay
582;T-84;Uruguay
583;T-84;Uruguay
584;T-13;Chile
585;T-13;Chile
586;T-13;Chile
587;T-13;Chile
588;T-09;Brazil
589;T-09;Brazil
590;T-03;Argentina
591;T-72;Soviet Union
592;T-72;Soviet Union
593;T-86;West Germany
594;T-21;Czechoslovakia
595;T-36;Hungary
596;T-36;Hungary
597;T-36;Hungary
598;T-87;Yugoslavia
599;T-87;Yugoslavia
600;T-87;Yugoslavia
601;T-87;Yugoslavia
602;T-13;Chile
603;T-13;Chile
604;T-09;Brazil
605;T-28;England
606;T-28;England
607;T-28;England
608;T-28;England
609;T-72;Soviet Union
610;T-72;Soviet Union
611;T-72;Soviet Union
612;T-72;Soviet Union
613;T-72;Soviet Union
614;T-72;Soviet Union
615;T-72;Soviet Union
616;T-72;Soviet Union
617;T-86;West Germany
618;T-86;West Germany
619;T-86;West Germany
620;T-73;Spain
621;T-36;Hungary
622;T-36;Hungary
623;T-36;Hungary
624;T-36;Hungary
625;T-36;Hungary
626;T-36;Hungary
627;T-36;Hungary
628;T-72;Soviet Union
629;T-72;Soviet Union
630;T-72;Soviet Union
631;T-86;West Germany
632;T-86;West Germany
633;T-09;Brazil
634;T-09;Brazil
635;T-09;Brazil
636;T-36;Hungary
637;T-87;Yugoslavia
638;T-87;Yugoslavia
639;T-87;Yugoslavia
640;T-87;Yugoslavia
641;T-87;Yugoslavia
642;T-41;Italy
643;T-41;Italy
644;T-41;Italy
645;T-46;Mexico
646;T-46;Mexico
647;T-46;Mexico
648;T-46;Mexico
649;T-28;England
650;T-09;Brazil
651;T-09;Brazil
652;T-09;Brazil
653;T-09;Brazil
654;T-13;Chile
655;T-13;Chile
656;T-13;Chile
657;T-21;Czechoslovakia
658;T-87;Yugoslavia
659;T-09;Brazil
660;T-09;Brazil
661;T-09;Brazil
662;T-09;Brazil
663;T-09;Brazil
664;T-09;Brazil
665;T-21;Czechoslovakia
666;T-21;Czechoslovakia
667;T-21;Czechoslovakia
668;T-21;Czechoslovakia
669;T-13;Chile
670;T-09;Brazil
671;T-09;Brazil
672;T-09;Brazil
673;T-09;Brazil
674;T-28;England
675;T-86;West Germany
676;T-86;West Germany
677;T-86;West Germany
678;T-86;West Germany
679;T-86;West Germany
680;T-09;Brazil
681;T-09;Brazil
682;T-72;Soviet Union
683;T-72;Soviet Union
684;T-72;Soviet Union
685;T-30;France
686;T-30;France
687;T-03;Argentina
688;T-03;Argentina
689;T-03;Argentina
690;T-58;Portugal
691;T-58;Portugal
692;T-58;Portugal
693;T-58;Portugal
694;T-41;Italy
695;T-41;Italy
696;T-84;Uruguay
697;T-84;Uruguay
698;T-84;Uruguay
699;T-73;Spain
700;T-73;Spain
701;T-73;Spain
702;T-36;Hungary
703;T-36;Hungary
704;T-36;Hungary
705;T-36;Hungary
706;T-13;Chile
707;T-13;Chile
708;T-03;Argentina
709;T-58;Portugal
710;T-58;Portugal
711;T-58;Portugal
712;T-72;Soviet Union
713;T-28;England
714;T-28;England
715;T-46;Mexico
716;T-03;Argentina
717;T-03;Argentina
718;T-58;Portugal
719;T-58;Portugal
720;T-58;Portugal
721;T-58;Portugal
722;T-51;North Korea
723;T-28;England
724;T-28;England
725;T-86;West Germany
726;T-86;West Germany
727;T-86;West Germany
728;T-36;Hungary
729;T-36;Hungary
730;T-36;Hungary
731;T-36;Hungary
732;T-72;Soviet Union
733;T-72;Soviet Union
734;T-72;Soviet Union
735;T-28;England
736;T-58;Portugal
737;T-58;Portugal
738;T-58;Portugal
739;T-58;Portugal
740;T-58;Portugal
741;T-58;Portugal
742;T-58;Portugal
743;T-58;Portugal
744;T-72;Soviet Union
745;T-72;Soviet Union
746;T-72;Soviet Union
747;T-86;West Germany
748;T-86;West Germany
749;T-86;West Germany
750;T-86;West Germany
751;T-86;West Germany
752;T-86;West Germany
753;T-86;West Germany
754;T-28;England
755;T-28;England
756;T-28;England
757;T-58;Portugal
758;T-58;Portugal
759;T-58;Portugal
760;T-28;England
761;T-28;England
762;T-28;England
763;T-28;England
764;T-28;England
765;T-28;England
766;T-46;Mexico
767;T-84;Uruguay
768;T-84;Uruguay
769;T-28;England
770;T-56;Peru
771;T-56;Peru
772;T-56;Peru
773;T-56;Peru
774;T-56;Peru
775;T-06;Belgium
776;T-06;Belgium
777;T-06;Belgium
778;T-41;Italy
779;T-09;Brazil
780;T-09;Brazil
781;T-09;Brazil
782;T-09;Brazil
783;T-09;Brazil
784;T-86;West Germany
785;T-86;West Germany
786;T-86;West Germany
787;T-72;Soviet Union
788;T-72;Soviet Union
789;T-72;Soviet Union
790;T-72;Soviet Union
791;T-72;Soviet Union
792;T-84;Uruguay
793;T-61;Romania
794;T-61;Romania
795;T-61;Romania
796;T-56;Peru
797;T-56;Peru
798;T-56;Peru
799;T-46;Mexico
800;T-46;Mexico
801;T-46;Mexico
802;T-46;Mexico
803;T-74;Sweden
804;T-74;Sweden
805;T-09;Brazil
806;T-86;West Germany
807;T-86;West Germany
808;T-86;West Germany
809;T-86;West Germany
810;T-86;West Germany
811;T-86;West Germany
812;T-86;West Germany
813;T-72;Soviet Union
814;T-72;Soviet Union
815;T-74;Sweden
816;T-09;Brazil
817;T-09;Brazil
818;T-09;Brazil
819;T-09;Brazil
820;T-09;Brazil
821;T-86;West Germany
822;T-86;West Germany
823;T-86;West Germany
824;T-86;West Germany
825;T-46;Mexico
826;T-41;Italy
827;T-28;England
828;T-10;Bulgaria
829;T-10;Bulgaria
830;T-09;Brazil
831;T-09;Brazil
832;T-09;Brazil
833;T-09;Brazil
834;T-09;Brazil
835;T-09;Brazil
836;T-41;Italy
837;T-41;Italy
838;T-41;Italy
839;T-41;Italy
840;T-41;Italy
841;T-72;Soviet Union
842;T-86;West Germany
843;T-86;West Germany
844;T-86;West Germany
845;T-86;West Germany
846;T-86;West Germany
847;T-09;Brazil
848;T-09;Brazil
849;T-09;Brazil
850;T-09;Brazil
851;T-41;Italy
852;T-41;Italy
853;T-41;Italy
