;matches_tournament_id;tournaments_tournament_name;tournaments_year;tournaments_host_country;tournaments_winner;tournaments_count_teams
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1934;1934 FIFA Men's World Cup;1934;Italy;Italy;16
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1938;1938 FIFA Men's World Cup;1938;France;Italy;15
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
