;matches_away_team_id;away_team_name;away_mens_team;away_womens_team;away_region_name
;T-31;Germany;1;1;Europe
;T-31;Germany;1;1;Europe
;T-31;Germany;1;1;Europe
;T-31;Germany;1;1;Europe
;T-31;Germany;1;1;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-30;France;1;1;Europe
;T-30;France;1;1;Europe
;T-30;France;1;1;Europe
;T-30;France;1;1;Europe
;T-19;Cuba;1;0;Caribbean
;T-19;Cuba;1;0;Caribbean
;T-19;Cuba;1;0;Caribbean
;T-19;Cuba;1;0;Caribbean
;T-19;Cuba;1;0;Caribbean
;T-19;Cuba;1;0;Caribbean
;T-19;Cuba;1;0;Caribbean
;T-19;Cuba;1;0;Caribbean
;T-21;Czechoslovakia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-36;Hungary;1;0;Europe
;T-36;Hungary;1;0;Europe
;T-36;Hungary;1;0;Europe
;T-36;Hungary;1;0;Europe
;T-36;Hungary;1;0;Europe
;T-36;Hungary;1;0;Europe
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-13;Chile;1;1;South America
;T-13;Chile;1;1;South America
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-13;Chile;1;1;South America
;T-13;Chile;1;1;South America
;T-28;England;1;1;Europe
;T-55;Paraguay;1;0;South America
;T-55;Paraguay;1;0;South America
;T-55;Paraguay;1;0;South America
;T-55;Paraguay;1;0;South America
;T-87;Yugoslavia;1;0;Europe
;T-87;Yugoslavia;1;0;Europe
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-83;United States;1;1;North America
;T-28;England;1;1;Europe
;T-55;Paraguay;1;0;South America
;T-55;Paraguay;1;0;South America
;T-07;Bolivia;1;0;South America
;T-07;Bolivia;1;0;South America
;T-07;Bolivia;1;0;South America
;T-07;Bolivia;1;0;South America
;T-07;Bolivia;1;0;South America
;T-07;Bolivia;1;0;South America
;T-07;Bolivia;1;0;South America
;T-07;Bolivia;1;0;South America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-74;Sweden;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-73;Spain;1;1;Europe
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-30;France;1;1;Europe
;T-64;Scotland;1;1;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-64;Scotland;1;1;Europe
;T-64;Scotland;1;1;Europe
;T-64;Scotland;1;1;Europe
;T-64;Scotland;1;1;Europe
;T-64;Scotland;1;1;Europe
;T-64;Scotland;1;1;Europe
;T-64;Scotland;1;1;Europe
;T-87;Yugoslavia;1;0;Europe
;T-87;Yugoslavia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-21;Czechoslovakia;1;0;Europe
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-46;Mexico;1;1;North America
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-86;West Germany;1;0;Europe
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-71;South Korea;1;1;East Asia
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-06;Belgium;1;0;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-80;Turkey;1;0;Europe, Asia
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-41;Italy;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-75;Switzerland;1;1;Europe
;T-28;England;1;1;Europe
;T-28;England;1;1;Europe
;T-28;England;1;1;Europe
;T-28;England;1;1;Europe
;T-28;England;1;1;Europe
;T-28;England;1;1;Europe
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-09;Brazil;1;1;South America
;T-87;Yugoslavia;1;0;Europe
;T-87;Yugoslavia;1;0;Europe
;T-84;Uruguay;1;0;South America
